PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
19057705,SOD2,I Marker,Blood cell,Cancer cell,Blood,low-throughput + high-throughput,qPCR;PCR;Sequencing technique,Transcriptome analysis in peripheral blood of humans exposed to environmental carcinogens: a promising new biomarker in environmental health studies,"SOD2(superoxide dismutase 2 (Mn)) is a marker expressed in Blood cell;SOD2 expression correlated significantly with blood or urine measures of three exposure markers: PCBs, p,p′-DDE, and Cd in urine.",,
19057705,DGAT2,I Marker,Blood cell,Cancer cell,Blood,low-throughput + high-throughput,qPCR;PCR;Sequencing technique,Transcriptome analysis in peripheral blood of humans exposed to environmental carcinogens: a promising new biomarker in environmental health studies,DGAT2(diacylglycerol O-acyltransferase homolog 2 (mouse)) is a marker expressed in Blood cell;A positive significant correlation was found between dioxins/furans and DGAT2 expression;DGAT2 expression correlated significantly with blood measures of Pb and median COMET values.,,
19057705,TIGD3,I Marker,Blood cell,Cancer cell,Blood,low-throughput + high-throughput,qPCR;PCR;Sequencing technique,Transcriptome analysis in peripheral blood of humans exposed to environmental carcinogens: a promising new biomarker in environmental health studies,"TIGD3(tigger transposable element derived 3) is a marker expressed in Blood cell;TIGD3 expression, a gene encoding a DNA-transposable element, correlated significantly with the blood or urinary measures of PCBs and with 1-OH-pyrene in urine. TIGD3 expression also appeared to correlate with serum levels of p53.",TP53,
19797166,MS4A1,I Marker,B cell,Cancer cell,Kidney,low-throughput,RT-qPCR;qRT-PCR;Flow cytometry;Immunofluorescent staining;Immunohistochemistry,Molecular phenotypes of acute rejection predict kidney graft prognosis ,"Compared with patients with T cell-mediated rejection, those with antibody-mediated rejection had significantly higher intrarenal mRNA expression of the cytoprotective heme oxygenase-1 but had lower expression of the regulatory T cell marker forkhead box P3 (FOXP3), the B cell marker CD20, and the chemokine regulated upon activation, normal T cell expressed and secreted (RANTES).",FOXP3,CL_0000236
20118910,TMPRSS2,I Marker,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,Immunofluorescent staining;Microscopic observation;whole transcriptome seq,Prevalence of TMPRSS2-ERG and SLC45A3-ERG gene fusions in a large prostatectomy cohort,TMPRSS2 is the marker expressed in Prostate cancer cell  regulated by transcription factor ERG.,ERG,
20118910,SLC45A3,I Marker,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,Immunofluorescent staining;Microscopic observation;whole transcriptome seq,Prevalence of TMPRSS2-ERG and SLC45A3-ERG gene fusions in a large prostatectomy cohort,SLC45A3 is the marker expressed in Prostate cancer cell  regulated by transcription factor ERG.,ERG,
20862275,ZAP70,I Marker,T cell,Cancer cell,Blood,low-throughput,qPCR;Flow cytometry,A Molecular Score by Quantitative PCR as a New Prognostic Tool at Diagnosis for Chronic Lymphocytic Leukemia Patients,ZAP70 (zeta-associated protein 70) and LPL (lipoprotein lipase) expression was associated with IgVH status and with poor outcome,LPL,CL_0000084
21336637,ALDH1A1,I Marker,Breast carcinoma cell,Cancer cell,Breast,low-throughput,Immunohistochemistry;Microscopic observation,Expression of the stem cell marker ALDH1 in BRCA1 related breast cancer,ALDH1 may therefore be a diagnostic marker and a therapeutic target of BRCA1 related breast cancer.,BRCA1,CL_0001064
21362015,MLANA,I Marker,Melanocytes cell,Cancer cell,Keratin,low-throughput,Microscopic observation;Immunohistochemistry,An immunohistochemical comparison between MiTF and MART-1 with Azure blue counterstaining in the setting of solar lentigo and melanoma in situ,There was no significant difference in the mean melanocytic count between MART-1/Azure blue and MITF as assessed in the solar lentigo group and as assessed independently in the MIS group.,MITF,
21410771,CNTN1,I Marker,Melanocytes cell,Cancer cell,Skin,low-throughput,qPCR;Immunohistochemistry;Microscopic observation,Identification of new genes associated with melanoma,"CNTN1, a member of the immunoglobulin superfamily, is a GPI- anchored neuronal membrane protein that functions as a cell adhesion molecule and acts as a functional ligand for Notch.",,
21454613,NDRG1,I Marker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput,Western blot;Immunofluorescent staining;Microscopic observation;RT-PCR;qRT-PCR;qPCR,KAI1 Gene Is Engaged in NDRG1 Gene-mediated Metastasis Suppression through the ATF3-NFKB Complex in Human Prostate Cancer,"NDRG1 and KAI1 belong to metastasis suppressor genes, which impede the dissemination of tumor cells from primary tumors to distant organs.",ATF3,CL_0001064
21489314,TP53,I Marker,Bladder carcinoma cell,Cancer cell,Bladder,low-throughput,Western blot;qRT-PCR;Immunohistochemistry;Microscopic observation,Increased expression of transcription factor TFAP2 acorrelates with chemosensitivity in advanced bladder cancer,TFAP2 proteins participate in tumorigenesis through regulation of neoplasia associated genes such as TP53.,TFAP2A,CL_0001064
21757724,CD40,I Marker,Thyroid cell,Cancer cell,Immune,low-throughput + high-throughput,qPCR;qRT-PCR;DNA-seq;ChIP-PCR;RT-PCR,Novel Variant of Thyroglobulin Promoter Triggers ThyroidAutoimmunity through an Epigenetic Interferon-modulated Mechanism,"To date, several gene loci have been associated with AITD, including immune genes (HLA-DR, CTLA-4, CD40, FOXP3, and CD25) and thyroid-specific genes (TSHR and TG).",FOXP3;CTLA4;IL2RA;IRF1,
21757724,IL2RA,I Marker,Thyroid cell,Cancer cell,Immune,low-throughput + high-throughput,qPCR;qRT-PCR;DNA-seq;ChIP-PCR;RT-PCR,Novel Variant of Thyroglobulin Promoter Triggers ThyroidAutoimmunity through an Epigenetic Interferon-modulated Mechanism,"To date, several gene loci have been associated with AITD, including immune genes (HLA-DR, CTLA-4, CD40, FOXP3, and CD25) and thyroid-specific genes (TSHR and TG).",CD40;FOXP3;CTLA4;IRF1,
21864376,EIF2AK3,I Marker,Breast cancer cell,Cancer cell,Breast,low-throughput,Immunofluorescent staining;RT-qPCR,Tribbles homolog 3 denotes a poor prognosis in breast cancer and is involved in hypoxia response,The induction of TRIB3 by hypoxia was shown to be regulated via the PERK/ATF4/CHOP pathway of the unfolded protein response and knockdown of TRIB3 resulted in a dose-dependent increase in hypoxia sensitivity.,TRIB3,
21911445,ERN1,I Marker,Basal cell,Cancer cell,Skin,low-throughput + high-throughput,Immunofluorescent staining;Weston blot;RT-PCR;Sequencing technique,Unfolded Protein Response Signaling and MAP Kinase Pathways Underlie Pathogenesis of Arsenic-Induced Cutaneous Inflammation,"ERN1 could be induced by Arsenic,resulting in augmented splicing of X-box binding protein 1(XBP-1) leading to its migration to the nucleus, and also enhanced transcriptional activation of downstream target proteins. ",XBP1,CL_0000646
21911445,EIF2AK3,I Marker,Basal cell,Cancer cell,Skin,low-throughput + high-throughput,Immunofluorescent staining;Weston blot;RT-PCR;Sequencing technique,Unfolded Protein Response Signaling and MAP Kinase Pathways Underlie Pathogenesis of Arsenic-Induced Cutaneous Inflammation,"Hyperphosphorylation of EIF2AK3 which induces eukaryotic translation initial factor 2a (eIF2a) in a phosphorylation-dependent manner enhanced translation of ATF4, in addition to augmenting proteolytic activation of ATF6 in arsenic-treated skin.",EIF2A,CL_0000646
21948151,PROM1,I Marker,Muscle cell,Cancer cell,Myocardium,low-throughput,Immunohistochemistry;PCR;Flow cytometry;Immunofluorescent staining;qRT-PCR;Immunostaining,A New Methodological Sequence to Expand and Transdifferentiate Human Umbilical Cord Blood Derived CD133+ Cells into a Cardiomyocyte-like Phenotype,"CD133 is considered to be a marker of various stem cells because it is expressed in embryonic epithelium, cord blood, foetal liver, bone marrow , prostatic epithelial stem cells, myogenic cells and cancer stem/initiating cells including retinoblastoma and medulloblastoma ",RXRB;RXRA;PPARA;MEF2C;GATA4,CL_0000187
21967637,PROM1,I Marker,Human colon cancer cell,Cancer cell,Colon,low-throughput,RT-PCR;Weston blot,Characterization of Danio rerio Nanog and Functional Comparison to Xenopus Vents,Absence of effect of the CD133 knockdown on Tf recycling established a role for CD133 in inhibiting Tf endocytosis rather than in stimulating Tf exocytosis. ,NANOG,
21974801,TG,I Marker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,IHC;HE histological staining,Concomitant pulmonary and thyroid tumors identified by FDG PET/CT and immunohistochemical techniques,TG is used to further ascertain the origin(s) of the two tumors co-existing in the lung and the thyroid as a reliable marker.,TTF1,CL_0001064
21984905,AIP,I Marker,Hela cell,Cancer cell,Breast,low-throughput + high-throughput,RT-PCR;Weston blot;Immunoblot assay;Re-ChIP,The Immunophilin-Like Protein XAP2 Is a Negative Regulator of Estrogen Signaling through Interaction with Estrogen Receptor a,"XAP2 (also known as aryl hydrocarbon receptor interacting protein, AIP) is originally identified as a negative regulator of the hepatitis B virus X-associated protein.",GREB1;ERAL1,
22018873,CDH1,I Marker,Cholangiocarcinoma cell,Cancer cell,Uterus,low-throughput,Immunohistochemistry;Microscopic observation,Correlation of TWIST2 up-regulation and epithelial–mesenchymal transition during tumorigenesis and progression of cervical carcinoma,"Increased levels of TWIST2 were also associated with aberrant expression of CDH1, an important EMT indicator.",TWIST2,
22028439,CDH16,I Marker,Thyroid carcinoma cell,Cancer cell,Thyroid,low-throughput,Immunofluorescent staining;PCR;Weston blot,CDH16/Ksp-Cadherin Is Expressed in the Developing Thyroid Gland and Is Strongly Down-Regulated in Thyroid Carcinomas,CDH16 is a marker in thyroid carcinomas cell.,PAX8,CL_0001064
22031317,KRT7,I Marker,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Immunohistochemistry;RT-PCR,Heterogeneity of Large Cell Carcinoma of the Lung,CK7 is a marker in large cell carcinoma cell,TTF1,CL_0001064
22034892,NCAM1,I Marker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry,Clinicopathological and immunohistochemical analysis of spindle-cell carcinoid tumour of the lung,"Immunohistochemical analysis revealed that all 13 cases were positive for three neuroendocrinmarkers (chromogranin A, synaptophysin and CD56). Four tumours (30.7%) were positive for broad-spectrum cytokeratin (CK) and nine tumours (69.2%) were positive for TTF1.",TTF1,CL_0001064
22105228,GPX4,I Marker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,PCR;Weston blot;Immunohistochemistry;Gene knock down,Antagonistic Effects of Selenium and Lipid Peroxides on Growth Control in Early Hepatocellular Carcinoma,Glutathione peroxidase 4 (GPX4) mediate the inhibition that selenium inhibitied where in human HCC cell lines  linoleic acid peroxide (LOOH) and other prooxidants enhanced the expression of VEGF and IL-8. LOOH up-regulated AP-1 activation.,VEGFA;CXCL8,CL_0001064
22134354,MIR34A,I Marker,Intestine carcinoma cell,Cancer cell,Intestine,low-throughput,Immunofluorescent staining;PCR;weston blot,miR-34 and SNAIL form a double-negative feedback loop to regulate epithelial-mesenchymal transitions,"In conclusion, the frequent inactivation of p53 and/or MIR 34A/B/C found in cancer may shift the equilibrium of these reciprocal regulations towards the mesenchymal state and thereby lock cells in a metastatic state",PROM1;CD44;BMI1;MYC;OLFM4;SNAI2;ZEB1;TGFB1,CL_0001064
22134354,MIR34B,I Marker,Intestine carcinoma cell,Cancer cell,Intestine,low-throughput,Immunofluorescent staining;PCR;weston blot,miR-34 and SNAIL form a double-negative feedback loop to regulate epithelial-mesenchymal transitions,"In conclusion, the frequent inactivation of p53 and/or MIR 34A/B/C found in cancer may shift the equilibrium of these reciprocal regulations towards the mesenchymal state and thereby lock cells in a metastatic state",ZEB1;SNAI2,CL_0001064
22134354,MIR34C,I Marker,Intestine carcinoma cell,Cancer cell,Intestine,low-throughput,Immunofluorescent staining;PCR;weston blot,miR-34 and SNAIL form a double-negative feedback loop to regulate epithelial-mesenchymal transitions,"In conclusion, the frequent inactivation of p53 and/or MIR 34A/B/C found in cancer may shift the equilibrium of these reciprocal regulations towards the mesenchymal state and thereby lock cells in a metastatic state",ZEB1;SNAI2,CL_0001064
22143939,CD4,I Marker,Kidney carcinoma cell,Cancer cell,Kidney,low-throughput,Immunohistochemistry;PCR;RT-PCR;Immunohistochemical staining,Localization of FOXP3-positive cells in renal cell carcinoma,RCC patients had higher numbers of systemic CD4+ CD25+ cells than healthy donors and that these cells expressed high levels of FOXP3.,FOXP3,CL_0001064
22143939,IL2RA,I Marker,Kidney carcinoma cell,Cancer cell,Kidney,low-throughput,Immunohistochemistry;PCR;RT-PCR;Immunohistochemical staining,Localization of FOXP3-positive cells in renal cell carcinoma,RCC patients had higher numbers of systemic CD4+ CD25+ cells than healthy donors and that these cells expressed high levels of FOXP3.,FOXP3,CL_0001064
22180239,KRT20,I Marker,Kidney carcinoma cell,Cancer cell,Kidney,low-throughput,Immunohistochemistry;Microscopic observation,Malignant Effusion of Chromophobe Renal-Cell Carcinoma: Cytological and Immunohistochemical Findings,KRT20 negatively express in renal-cell carcinoma cell,CDX2;PDPN;KRT5,CL_0001064
22180239,KRT5,I Marker,Kidney carcinoma cell,Cancer cell,Kidney,low-throughput,Immunohistochemistry;Microscopic observation,Malignant Effusion of Chromophobe Renal-Cell Carcinoma: Cytological and Immunohistochemical Findings,KRT5 negatively express in renal-cell carcinoma cell,KRT20;PDPN;CDX2,CL_0001064
22180239,PDPN,I Marker,Kidney carcinoma cell,Cancer cell,Kidney,low-throughput,Immunohistochemistry;Microscopic observation,Malignant Effusion of Chromophobe Renal-Cell Carcinoma: Cytological and Immunohistochemical Findings,PDPN negatively express in renal-cell carcinoma cell,KRT20;KRT5;CDX2,CL_0001064
22476608,FABP4,I Marker,Cerebellar liponeurocytoma cell,Cancer cell,Cerebellum,low-throughput,Immunohistochemistry;qPCR;Microscopic observation;RT-PCR,FABP4 is a candidate marker of cerebellar liponeurocytomas,FABP4 expression is of help to differentiate cLPN from MB.,NEUROG1,
22496917,MIR148A,I Marker,Liver carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,Western blot;Microscopic observation;qRT-PCR;RNA-seq,Role of miR-148a in Hepatitis B Associated Hepatocellular Carcinoma,"The introduction of the transcription factor MIR-148A increases the expression of PTEN protein, and MIR-148A is also a marker of Hepatoma carcinoma cells",VWCE,CL_0001064
22531686,KRAS,I Marker,Colon carcinoma cell,Cancer cell,Colon,low-throughput,Western blot;Immunohistochemistry;Immunofluorescent staining,Relationship Between Expression of ras p21 Oncoprotein and Mutation Status of the K-ras Gene in Sporadic Colorectal Cancer Patients in Tunisia,The activation of ras family genes include ras p21 and K-RAS plays an important role in colorectal tumorigenesis,MIR363,CL_0001064
22541691,ITGAM,I Marker,Leukemia cell,Cancer cell,Blood,low-throughput,RT-PCR;Western blot;Flow-throughput cytometry,The pan-caspase inhibitor Q-VD-OPh has anti-leukemia effects and can interact with vitamin D analogs to increase HPK1 signaling in AML cells,Cell differentiation was manifested by the expression of markers of monocytic differentiation CD11B and CD14.,,
22541691,CD14,I Marker,Leukemia cell,Cancer cell,Blood,low-throughput,RT-PCR;Western blot;Flow-throughput cytometry,The pan-caspase inhibitor Q-VD-OPh has anti-leukemia effects and can interact with vitamin D analogs to increase HPK1 signaling in AML cells,Cell differentiation was manifested by the expression of markers of monocytic differentiation CD11B and CD14.,,
22542108,TMSB10,I Marker,Breast carcinoma cell,Cancer cell,Breast,low-throughput,qPCR;Immunohistochemistry;Microscopic observation,Genetic up-regulation and overexpression of PLEKHA7 differentiates invasive lobular carcinomas from invasive ductal carcinomas☆,"PLEKHA and TMSB10 expression discriminated ILCs from luminal A IDCs, whereas PLEKHA7, TMSB10, PRDX4, and SERPINB5 discriminated ILCs from luminal B IDCs.",PLEKHA7,CL_0001064
22542108,PRDX4,I Marker,Breast carcinoma cell,Cancer cell,Breast,low-throughput,qPCR;Immunohistochemistry;Microscopic observation,Genetic up-regulation and overexpression of PLEKHA7 differentiates invasive lobular carcinomas from invasive ductal carcinomas☆,"PLEKHA and TMSB10 expression discriminated ILCs from luminal A IDCs, whereas PLEKHA7, TMSB10, PRDX4, and SERPINB5 discriminated ILCs from luminal B IDCs.",PLEKHA7,CL_0001064
22542108,SERPINB5,I Marker,Breast carcinoma cell,Cancer cell,Breast,low-throughput,qPCR;Immunohistochemistry;Microscopic observation,Genetic up-regulation and overexpression of PLEKHA7 differentiates invasive lobular carcinomas from invasive ductal carcinomas☆,"PLEKHA and TMSB10 expression discriminated ILCs from luminal A IDCs, whereas PLEKHA7, TMSB10, PRDX4, and SERPINB5 discriminated ILCs from luminal B IDCs.",PLEKHA7,CL_0001064
22569295,EDN1,I Marker,Muscle cell,Cancer cell,Myocardium,low-throughput,Western blot;qPCR;Immunofluorescent staining,Endothelin-1­induced cardiomyocyte hypertrophy is partly regulated by transcription factor II-F interacting C-terminal domain phosphatase of RNA polymerase II,endothelin-1 (ET-1) phosphorylates CTD at the hypertrophic responsein cardiomyocytes.,,CL_0000187
22569295,NPPA,I Marker,Muscle cell,Cancer cell,Myocardium,low-throughput,Western blot;qPCR;Immunofluorescent staining,Endothelin-1­induced cardiomyocyte hypertrophy is partly regulated by transcription factor II-F interacting C-terminal domain phosphatase of RNA polymerase II,"the ET-1-induced increase in molecular markers of cardiac hypertrophy, expression of ANP and β-MHC gene, was suppressed by FCP1 and was not inhibited by dnFCP1.",,CL_0000187
22569344,CD28,I Marker,T cell,Cancer cell,Lymph,low-throughput,Western blot;Flow-throughput cytometry,Magnesium lithospermate B mediates anti-inflammation targeting activator protein-1 and nuclear factor-kappa B signaling pathways in human peripheral T lymphocytes,"MLB inhibited interleukin (IL)-2, IL-4, tumor necrosis factor-alpha and interferon-gamma production from activated T cells. The expressions of T cell activation markers CD 25 and CD 69 were effectively reduced.",JUN;POU2F1,CL_0000084
22570512,CD4,I Marker,Liver cell,Cancer cell,Liver,low-throughput,RT-PCR;qPCR,Effects of Telbivudine Treatment on the Circulating CD4+ T-Cell Subpopulations in Chronic Hepatitis B Patients,CD4+ T cells serve as master regulators of the adaptive immune response to HBV,,CL_0000182
22585994,MYC,I Marker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,Weston blot;qRT-PCR;Gene knock down;Flow-throughput cytometry;RNA-seq,MYC Is Activated by USP2a-Mediated Modulation of MicroRNAs in Prostate Cancer,Transgenic MYC expression drives invasive adenocarcinomas in the murine prostate,,CL_0001064
22585994,TP53,I Marker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,Weston blot;qRT-PCR;Gene knock down;Flow-throughput cytometry;RNA-seq,MYC Is Activated by USP2a-Mediated Modulation of MicroRNAs in Prostate Cancer,p53 is a Marker in Prostate Cancer cell,,CL_0001064
22590586,UPK1B,I Marker,Bladder carcinoma cell,Cancer cell,Bladder,low-throughput,RT-PCR;qRT-PCR;Microscopic observation;Western blot;Immunofluorescent staining;Immunohistochemistry;Gene knock down,"Loss of the Urothelial Differentiation Marker FOXA1 Is Associated with High Grade, Late Stage Bladder Cancer and Increased Tumor Proliferation","Knockdown of FOXA1 in RT4 bladder cancer cells resulted in increased expression of UPK1B, UPK2, UPK3A, and UPK3B, decreased E-cadherin expression and significantly increased cell proliferation, while overexpression of FOXA1 in T24 cells increased E-cadherin expression and significantly decreased cell growth and invasion",FOXA1,CL_0001064
22590586,UPK2,I Marker,Bladder carcinoma cell,Cancer cell,Bladder,low-throughput,RT-PCR;qRT-PCR;Microscopic observation;Western blot;Immunofluorescent staining;Immunohistochemistry;Gene knock down,"Loss of the Urothelial Differentiation Marker FOXA1 Is Associated with High Grade, Late Stage Bladder Cancer and Increased Tumor Proliferation","Knockdown of FOXA1 in RT4 bladder cancer cells resulted in increased expression of UPK1B, UPK2, UPK3A, and UPK3B, decreased E-cadherin expression and significantly increased cell proliferation, while overexpression of FOXA1 in T24 cells increased E-cadherin expression and significantly decreased cell growth and invasion",FOXA1,CL_0001064
