PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
15248062,TP63,TF Pmarker,Epithelial cell,Cancer cell,Skin,low-throughput + high-throughput,DNA-seq;RT-PCR;qRT-PCR;Western blot;Microscopic observation,Molecular characterization and expression of p64 isoforms in human keloids,"These results may indicate that aberrant P63 expression plays a role not only in malignant tumors but also in benign skin diseases that show hyperproliferation of epidermal cells in vivo. Moreover, this isoform of P63 could serve as a specific molecular marker for this human disease.",,CL_0000066
15249855,HMGA1,TF Pmarker,Fibroblast cell,Cancer cell,Subcutaneous,low-throughput,Immunohistochemistry;Microscopic observation,"Differential Expression of HMGA1 and HMGA2 in Dermatofibroma and Dermatofibrosarcoma Protuberans:Potential Diagnostic Applications, and Comparison with Histologic Findings, CD34, and Factor XIIIa Immunoreactivity","HMGA1 and HMGA2 genes,members of the high mobility group protein family genes, encode proteins that act as architectural transcription factors and are frequently dysregulated in a variety of benign or locally aggressive mesenchymal tumors",HMGA2,CL_0000057
15249855,HMGA2,TF Pmarker,Fibroblast cell,Cancer cell,Subcutaneous,low-throughput,Immunohistochemistry;Microscopic observation,"Differential Expression of HMGA1 and HMGA2 in Dermatofibroma and Dermatofibrosarcoma Protuberans:Potential Diagnostic Applications, and Comparison with Histologic Findings, CD34, and Factor XIIIa Immunoreactivity","HMGA1 and HMGA2 genes,members of the high mobility group protein family genes, encode proteins that act as architectural transcription factors and are frequently dysregulated in a variety of benign or locally aggressive mesenchymal tumors",HMGA1,CL_0000057
15459955,POU6F2,TF Pmarker,Kidney tumor cell,Cancer cell,Kidney,low-throughput + high-throughput,Weston blot;DNA-Seq;RT-PCR,Germline Mutations of the POU6F2 Gene in Wilms Tumors With Loss of Heterozygosity on Chromosome 7p14,"Together with the finding of the expression of the POU6F2 homolog in both fetal and adult kidney, our observations suggest that the gene is a tumor suppressor and is involved in hereditary predisposition to WT. ",,
15466176,GFI1,TF Pmarker,Lung carcinomas cell,Cancer cell,Lung,low-throughput + high-throughput,Immunohistochemistry;Western blot;RT-PCR;DNA-seq;Flow cytometry,Growth Factor Independence-1 Is Expressed in Primary Human Neuroendocrine Lung Carcinomas and Mediates the Differentiation of Murine Pulmonary Neuroendocrine Cells,The Drosophila orthologues of ASH1 (Achaete and Scute) and the growth factor independence-1 (GFI1) oncoprotein (Senseless) genetically interact to inhibit Notch signaling and specify fly sensory organ development,ASCL1,
15466176,ASCL1,TF Pmarker,Lung carcinomas cell,Cancer cell,Lung,low-throughput + high-throughput,Immunohistochemistry;Western blot;RT-PCR;DNA-seq;Flow cytometry,Growth Factor Independence-1 Is Expressed in Primary Human Neuroendocrine Lung Carcinomas and Mediates the Differentiation of Murine Pulmonary Neuroendocrine Cells,The Drosophila orthologues of ASH1 (Achaete and Scute) and the growth factor independence-1 (GFI1) oncoprotein (Senseless) genetically interact to inhibit Notch signaling and specify fly sensory organ development,GFI1,
15501955,JUN,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO2).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,EGR1,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7,
15501955,JUNB,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,FOS,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,FOSB,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,MYCN,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,SNAI1,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,VEGFA,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,HBEGF,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,IGFBP7,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;CCL3;CCL5;TNFRSF10A;JUN;MYCN;SNAI1;ANGPT2;TBXA2R;IL6;EGR1,
15501955,IL6,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;CCL3;CCL5;TNFRSF10A;JUN;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,ANGPT2,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;TBXA2R;IGFBP7;EGR1,
15501955,EREG,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,CCL3,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL5;TNFRSF10A;JUN;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,CCL5,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;TNFRSF10A;JUN;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,TBXA2R,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;IGFBP7;EGR1,
15501955,TNFRSF10A,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;ROBO2;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15501955,ROBO2,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,qRT-PCR,Molecular Profiling of Inflammatory Breast Cancer: Identification of a Poor-Prognosis Gene Expression Signature,"The 27 up-regulated genes mainly encoded transcription factors (JUN, EGR1, JUNB,FOS, FOSB, MYCN, and SNAIL1), growth factors (VEGF,DTR/HB-EGF, IGFBP7, IL6, ANGPT2, EREG, CCL3/MIP1A, and CCL5/RANTES) and growth factor receptors(TBXA2R, TNFRSF10A/TRAILR1, and ROBO3).",VEGFA;JUNB;FOSB;EREG;FOS;HBEGF;IL6;CCL3;CCL5;JUN;TNFRSF10A;MYCN;SNAI1;ANGPT2;TBXA2R;IGFBP7;EGR1,
15502805,MME,TF Pmarker,Renal neoplasms cell,Cancer cell,Kidney,low-throughput,Immunohistochemistry;Microscopic observation,Expression of aquaporins and PAX-2 compared to CD10 and cytokeratin 7 in renal neoplasms: a tissue microarray study,"PAX-2 and CD10 was found in the majority of clear cell renal cell carcinomas (88 and 85%,respectively) but only in few papillary renal cell carcinomas, chromophobe renal cell carcinomas and oncocytomas",PAX2,
15520192,HEYL,TF Pmarker,Breast carcinoma cell,Cancer cell,Breast,low-throughput + high-throughput,qPCR;PT-PCR;Western blot;Immunohistochemistry;Microscopic observation;DNA-seq,Alterations in Vascular Gene Expression in Invasive Breast Carcinoma,"In contrast to other tumor types,invasive breast cancer vasculature induced a high expression level of specific transcription factors, including SNAIL1 and HEYL, that may drive gene expression changes necessary for breast tumor neovascularization.",SNAI1,
15520192,SNAI1,TF Pmarker,Breast carcinoma cell,Cancer cell,Breast,low-throughput + high-throughput,qPCR;PT-PCR;Western blot;Immunohistochemistry;Microscopic observation;DNA-seq,Alterations in Vascular Gene Expression in Invasive Breast Carcinoma,"In contrast to other tumor types,invasive breast cancer vasculature induced a high expression level of specific transcription factors, including SNAIL1 and HEYL, that may drive gene expression changes necessary for breast tumor neovascularization.",HEYL,
15525513,NRF1,TF Pmarker,Stem cell,Cancer cell,Retina,low-throughput,Weston blot;RT-PCR,A Common Set of Gene Regulatory Networks Links Metabolism and Growth Inhibition,"We showed that NRF1, a factor known to regulate expression of genes involved in mitochondrial function.",RBL2;E2F4,CL_0000034
15525513,E2F4,TF Pmarker,Stem cell,Cancer cell,Retina,low-throughput,Weston blot;RT-PCR,A Common Set of Gene Regulatory Networks Links Metabolism and Growth Inhibition,We found that P130 and E2F4 cooperatively repress a common set of genes under each growth arrest condition and showed.,RBL2;NRF1,CL_0000034
15525513,RBL2,TF Pmarker,Stem cell,Cancer cell,Retina,low-throughput,Weston blot;RT-PCR,A Common Set of Gene Regulatory Networks Links Metabolism and Growth Inhibition,,NRF1;E2F4,CL_0000034
15543136,BAZ1B,TF Pmarker,Hela cell,Cancer cell,Uterus,low-throughput,Western blot;Immunofluorescent staining;Flow cytometry;qRT-PCR,The Williams syndrome transcription factor interacts  with PCNA to target chromatin remodelling by ISWI to replication foci,"Here we provide evidence that the Williams syndrome transcription factor (WSTF) is targeted to replication foci through direct interaction with the DNA clamp PCNA, an important coordinator of DNA and chromatin replication.",SMARCA5;PCNA,
15543136,PCNA,TF Pmarker,Hela cell,Cancer cell,Uterus,low-throughput,Western blot;Immunofluorescent staining;Flow cytometry;qRT-PCR,The Williams syndrome transcription factor interacts with PCNA to target chromatin remodelling by ISWI to replication foci,Most PCNA-binding proteins interact with PCNA through a socalled ‘PCNA-binding motif ’,SMARCA5;BAZ1B,
15548705,STAT1,TF Pmarker,Breast cancer cell,Cancer cell,Breast,low-throughput,Weston blot;Immunofluorescent staining;Microscopic observation,STAT1: A Modulator of Chemotherapy-induced Apoptosis,"We conclude that doxorubicin potentiates STAT1 activation in response to IFN-, and that this combination results in enhanced apoptosis in breast cancer cells.",,
15572854,GATA3,TF Pmarker,T cell,Cancer cell,Lymph,low-throughput,qRT-PCR,Increased mRNA Expression of Th1-Cytokine Signaling Molecules in Patients with HTLV-I-Associated Myelopathy/Tropical Spastic Paraparesis,"It has been shown that cytokine signaling molecules, including transcription factors T-bet and GATA-3, interleukin-12 receptor β2 (IL-12Rβ2) and suppressors of cytokine signaling (SOCS), such as SOCS1, are important in differentiation of naive T cells into Th2 helper T cells",SOCS3;SOCS1,CL_0000084
15572854,SOCS1,TF Pmarker,T cell,Cancer cell,Lymph,low-throughput,qRT-PCR,Increased mRNA Expression of Th1-Cytokine Signaling Molecules in Patients with HTLV-I-Associated Myelopathy/Tropical Spastic Paraparesis,"It has been shown that cytokine signaling molecules, including transcription factors T-bet and GATA-3, interleukin-12 receptor β2 (IL-12Rβ2) and suppressors of cytokine signaling (SOCS), such as SOCS1, are important in differentiation of naive T cells into Th4 helper T cells",SOCS3;GATA3,CL_0000084
15577322,TRPM1,TF Pmarker,Melanocytes cell,Cancer cell,Skin,low-throughput + high-throughput,Western blot;RT-PCR;DNA-seq,Human melastatin 1 (TRPM1) is regulated by MITF and produces multiple polypeptide isoforms in melanocytes and melanoma,"Melastatin 1 (MLSN1), originally identified as melanoma metastasis suppressor, represents a TRPM subfamily of transient receptor potential (TRP) proteins which serve diverse biological roles in a wide variety of cell types.",MITF,
15577322,MITF,TF Pmarker,Melanocytes cell,Cancer cell,Skin,low-throughput + high-throughput,Western blot;RT-PCR;DNA-seq,Human melastatin 1 (TRPM1) is regulated by MITF and produces multiple polypeptide isoforms in melanocytes and melanoma,"In this study, we identified a 654 bp upstream sequence of MLSN1, containing four E boxes(E1–E4), including an 11 bp M box (E4), that is sufficient for melanocyte-specific transcription and activation by the melanocyte transcription factor MITF (a bHLH-zip factor).",TRPM1,
15629771,TOP2A,TF Pmarker,Cervical cancer cell,Cancer cell,Uterus,low-throughput + high-throughput,qRT-PCR;Flow cytometry;Microscopic observation;RNA-seq,Gene expression profiles of primary HPV16- and HPV18-infected early stage cervical cancers and normal cervical epithelium:identification of novel candidate molecular markers for cervical cancer diagnosis and therapy,TOP2A Is one of the genes that is overexpressed in CVX ,,
15644781,TFEB,TF Pmarker,Renal carcinomas cell,Cancer cell,Kidney,low-throughput + high-throughput,RT-PCR;Western blot;Microscopic observation;DNA-Seq,"Renal Carcinomas With the t(6;11)(p21;q12)Clinicopathologic Features and Demonstration of the Specific Alpha-TFEB Gene Fusion by Immunohistochemistry, RT-PCR, and DNA PCR",Nuclear immunoreactivity for TFEB protein is a highly sensitive and specific diagnostic marker for these renal neoplasms,TFEB,
15708372,SP3,TF Pmarker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,Western blot;qPCR;DNA-seq,Sp1 and Sp3 transcription factors upregulate the proximal promoter of the human prostate-speciWc antigen gene in prostate cancer cells,SP1 and SP3 are involved in the basal expression of PSA in prostate cancer cells.,SP1,CL_0001064
15708372,SP1,TF Pmarker,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,Western blot;qPCR;DNA-seq,Sp1 and Sp3 transcription factors upregulate the proximal promoter of the human prostate-speciWc antigen gene in prostate cancer cells,SP1 and SP3 are involved in the basal expression of PSA in prostate cancer cells.,SP3,CL_0001064
15722794,TTF1,TF Pmarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry;Microscopic observation,CDX2 Immunostaining as a Gastrointestinal MarkerExpression in Lung Carcinomas Is a Potential Pitfall,"Of these 10 cases, 4 (3 adenocarcinomas and1 large cell carcinoma) were TTF-1 positive, CK7 positive,and CK20 negative.",CDX2,CL_0001064
15826304,CEACAM6,TF Pmarker,Lymphoid cell,Cancer cell,Lymph,low-throughput,Flow-throughput cytometry;Western blot;qPCR,Myeloid antigens in childhood lymphoblastic leukemia: clinical data point to regulation of CD66c distinct from other myeloid antigens,Granulocytic marker CD66c -- Carcinoembryonic antigen-related cell adhesion molecule 6 (CEACAM6) is aberrantly expressed on ALL with strong correlation to genotype.,,CL_0000542
