PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
18230721,ERBB2,T Marker,Breast cancer cell,Cancer cell,Breast,low-throughput + high-throughput,Weston blot;Microscopic observation;Immunostaining;siRNA Contructs;RT-PCR;Flow Cytometry;DNA Extraction;Aldefluor Assay ,BRCA1 regulates human mammary stem/progenitor cell fate,"The lack of expression of ERBB2D protein leads to the development of breast cancer, and the expression of ERBB2D is regulated by BRCA1",BRCA1,
18813120,TP63,T Marker,Prostate cancer cell ,Cancer cell,Prostate,low-throughput,Immunofluorescent staining,False positive labeling of prostate cancer with high molecular weight cytokeratin: p63 a more specific immunomarker for basal cells ,"P63 is a more specific marker for basal cells than HMWCK, with less labeling of tumor cells.",,
18825388,IL23A,T Marker,Stem cell,Cancer cell,Mucosal,low-throughput,qRT-PCR,"High expression of Foxp3, IL-23p19 and survivin mRNA in colorectal carcinoma",Induction of the cytokines with protumoral activity as IL-12p40 and IL-23p19 (IL-23) in the colorectal tumor tissue but not in peripheral blood of patients.,FOXP3,CL_0000034
18826220,AKR1C2,T Marker,Liver cell,Cancer cell,Liver,low-throughput,Weston blot;Immunofluorescent staining,"Imaging induction of cytoprotective enzymes in intact human cells: coumberone, a metabolic reporter for human AKR1C enzymes reveals activation by panaxytriol, an active component of red ginseng","A metabolic fluorogenic probe, and isoform-selective inhibitors, the upregulation of cellular stress markers AKR1C2 and AKR1C3 can be quantitatively measured in the presence of ARE activator compounds.",GABPA,CL_0000182
18826220,AKR1C3,T Marker,Liver cell,Cancer cell,Liver,low-throughput,Weston blot;Immunofluorescent staining,"Imaging induction of cytoprotective enzymes in intact human cells: coumberone, a metabolic reporter for human AKR1C enzymes reveals activation by panaxytriol, an active component of red ginseng","A metabolic fluorogenic probe, and isoform-selective inhibitors, the upregulation of cellular stress markers AKR1C2 and AKR1C3 can be quantitatively measured in the presence of ARE activator compounds.",GABPA,CL_0000182
18985040,CD8A,T Marker,T cell,Cancer cell,Colon,low-throughput,Immunohistochemistry;Immunofluorescent staining,High density of FOXP3-positive T cells infiltrating colorectal cancers with microsatellite instability,Our results show that the elevated number of CD8-positive lymphocytes found in MSI-H colorectal cancers is paralleled by an enhanced infiltration with CD8-negative FOXP3-positive cells.,FOXP3,CL_0000084
19020915,EIF2A,T Marker,Stem cell,Cancer cell,Breast,low-throughput,Western blot,The antiproliferative effect of EPA in HL60 cells is mediated by alterations in calcium homeostasis,"Protein levels of phosphorylated eIF2alpha, a selective translation inhibitor and UPR hallmark, activating transcription factor 4 (ATF4) and sequestosome-1 were moderately increased, whereas the cell cycle/progression protein cyclin D1 was decreased in HL60.",ATF4;TIMP1,CL_0000034
19047111,TAS2R63P,T Marker,Lung adenoCarcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry;Microscopic observation,Elevated phospho-S6 expression is associated with metastasis in adenocarcinoma of the lung,"The biomarker p-S6 is overexpressed in metastatic Cancer s. In primary Cancer s, higher p-S6 expression is associated with shorter metastatic-free survival. This biomarker has the potential for risk stratification in future clinical trials.",TTF1,
19058139,SOX2,T Marker,Stem cell,Cancer cell,Prostate,low-throughput,RT-PCR;Immunohistochemistry;Western blot;Microscopic observation,Oct4A Is Expressed by a Subpopulation of Prostate Neuroendocrine Cells,"A subpopulation of the POU5F1 expressing cells co-expressed SOX2, an embryonic stem cell marker.",POU5F1,CL_0000034
19100628,CD79A,T Marker,B cell,Cancer cell,Lymph,low-throughput,Immunohistochemistry;Microscopic observation,Pax5 immunostaining in paraffin-embedded sections of canine non-Hodgkin lymphoma: A novel canine pan pre-B- and B-cell marker,CD79a is a marker expressed in B cells,PAX5,CL_0000236
19176379,PROM1,T Marker,Nerve cell,Cancer cell,Nerve,low-throughput,Western blot;Flow cytometry;Microscopic observation;qPCR;qRT-PCR,Achaete-scute Complex Homologue 1 Regulates Tumor-Initiating Capacity in Human Small Cell Lung Cancer,"In SCLC direct xenograft tumors, we detected a relatively abundant CD133(high)-ASCL1(high)-ALDH1(high) subpopulation with markedly enhanced tumorigenicity compared with cells with weak CD133 expression.",ASCL1,CL_0002319
19416806,AMER1,T Marker,Stem cell,Cancer cell,Kidney,low-throughput,Immunofluorescent staining;Weston blot;Immunoprecipitation;qPCR,The Tumor Suppressor WTX Shuttles to the Nucleus and Modulates WT1 Activity,"Notably, WTX binds WT1, another Wilms tumor suppressor and stem cell marker that encodes a zinc-finger transcription factor, and enhances WT1-mediated transcription of Amphiregulin, an endogenous target gene.",NONO;WT1,CL_0000034
19416806,NONO,T Marker,Stem cell,Cancer cell,Kidney,low-throughput,Immunofluorescent staining;Weston blot;Immunoprecipitation;qPCR,The Tumor Suppressor WTX Shuttles to the Nucleus and Modulates WT1 Activity,"WTX is present in distinct subnuclear structures and co-localizes with the paraspeckle marker p54NRB/NONO, suggesting a role in transcriptional regulation.",WT1;AMER1,CL_0000034
19856313,CD3D,T Marker,T cell,Cancer cell,Colon,low-throughput + high-throughput,Immunohistochemistry;;Microscopic observation,High frequency of tumor-infiltrating FOXP3(+) regulatory T cells predicts improved survival in mismatch repair-proficient colorectal cancer patients ,"The total number of TILs as well as the number of FOXP3, CD3, and CD8 cells contained within each punch, approximately the same as 1 high power (40_x0001_) field, was determined for each case.",FOXP3,CL_0000084
19856313,CD8A,T Marker,T cell,Cancer cell,Colon,low-throughput + high-throughput,Immunohistochemistry;;Microscopic observation,High frequency of tumor-infiltrating FOXP3(+) regulatory T cells predicts improved survival in mismatch repair-proficient colorectal cancer patients ,"The total number of TILs as well as the number of FOXP3, CD3, and CD8 cells contained within each punch, approximately the same as 1 high power (40_x0001_) field, was determined for each case.",FOXP3,CL_0000084
19874827,IL7R,T Marker,T cell,Cancer cell,Lymph,low-throughput,Flow cytometric,Technical advancement in regulatory T cell isolation and characterization using CD127 expression in patients with malignant glioma treated with autologous dendritic cell vaccination ,"We conclude that CD127 staining is a fast, well-suited and reproducible Treg monitoring tool in HGG patients treated with immunotherapy.",FOXP3,CL_0000084
19874827,CD4,T Marker,T cell,Cancer cell,Lymph,low-throughput,Flow cytometric,Technical advancement in regulatory T cell isolation and characterization using CD127 expression in patients with malignant glioma treated with autologous dendritic cell vaccination ,We noted a strong positive correlation between FOXP3 expression and CD127dim expression in CD4+CD25+ and CD4+ cells.,FOXP3,CL_0000084
19874827,IL2RA,T Marker,T cell,Cancer cell,Lymph,low-throughput,Flow cytometric,Technical advancement in regulatory T cell isolation and characterization using CD127 expression in patients with malignant glioma treated with autologous dendritic cell vaccination ,We noted a strong positive correlation between FOXP3 expression and CD127dim expression in CD4+CD25+ and CD4+ cells.,FOXP3,CL_0000084
19887917,NKX2-1,T Marker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry;Microscopic observation,Comparison of thyroid transcription factor-1 expression by 2 monoclonal antibodies in pulmonary and nonpulmonary primary tumors ,"TTF-1, also known as Nkx2.1 or thyroid-specific enhancer-binding protein, is a 38 kDa DNA-binding protein containing 371 amino acids.",TTF1,CL_0001064
20004952,EGFR,T Marker,Ovarian Carcinomas cell,Cancer cell,Ovarian,low-throughput,Immunohistochemistry;Microscopic observation,Thyroid transcription factor 1 expression in ovarian Carcinomas is an independent prognostic factor,EGFR is a potential critical molecular therapeutic target in gynecologic malignancies.,TTF1,
20042854,KRT7,T Marker,Epithelial cell,Cancer cell,Thyroid,low-throughput + high-throughput,Immunohistochemistry;Microscopic observation;Survival analysis,Expression of Thyroid transcription factor-1 in colorectal Carcinoma,CK7 is a specific marker for Thyroid cancers,TTF1,CL_0000066
20042854,KRT7,T Marker,Pulmonary epithelial cell and Thyroid cancer cell,Cancer cell,Thyroid,low-throughput + high-throughput,Immunohistochemistry;Microscopic observation;Survival analysis,Expression of Thyroid transcription factor-1 in colorectal Carcinoma,CK7 is a specific marker for thyroid cancers,TTF1,
20051780,MME,T Marker,B cell,Cancer cell,Blood,low-throughput + high-throughput,Flow cytometry;Sequencing technique;PCR,Dense methylation of types 1 and 2 regulatory regions of the CD10 gene promoter in infant acute lymphoblastic leukemia with MLL/AF4 fusion gene,CD10 is a marker expressed in B cells of infant acute lymphoblastic leukemia (ALL),AFF1,CL_0000236
20082847,SLC5A8,T Marker,Human hepatic carcinoma cell,Cancer cell,Liver,low-throughput + high-throughput,DNA-seq;Western blot;Bioinformatic prediction,Identification and characterization of the Human SLC5A8 gene promoter,"Human SLC5A8 gene is a tumor suppressor gene, and its silencing may contribute to the occurrence and progression of various tumors including human hepatic carcinoma cells",SP1,
20084020,MAP2,T Marker,Malignant astrocytic gliomas cell,Cancer cell,Brain,low-throughput,Immunofluorescent staining;Immunohistochemistry; Microscopic observation,Expression of PROX1 Is a common feature of high-grade malignant astrocytic gliomas,MAP2 is a marker of malignant astroglioma cells,PROX1,
20106868,THY1,T Marker,Stem cell,Cancer cell,Kidney,low-throughput + high-throughput,qRT-PCR;Immunofluorescent staining;Western blot;Flow cytometry;The altered amino acid seq,Wilms Cancer cell with WT1 mutations have characteristic features of mesenchymal stem cells and express molecular markers of paraxial mesoderm,CD90 is Mesenchymal stem cells  specific surface proteins,WT1,CL_0000034
20106868,ENG,T Marker,Stem cell,Cancer cell,Kidney,low-throughput + high-throughput,qRT-PCR;Immunofluorescent staining;Western blot;Flow cytometry;The altered amino acid seq,Wilms Cancer cell with WT1 mutations have characteristic features of mesenchymal stem cells and express molecular markers of paraxial mesoderm,CD105 is Mesenchymal stem cells  specific surface proteins,WT1,CL_0000034
20106868,NT5E,T Marker,Stem cell,Cancer cell,Kidney,low-throughput + high-throughput,qRT-PCR;Immunofluorescent staining;Western blot;Flow cytometry;The altered amino acid seq,Wilms Cancer cell with WT1 mutations have characteristic features of mesenchymal stem cells and express molecular markers of paraxial mesoderm,CD73 is Mesenchymal stem cells  specific surface proteins,WT1,CL_0000034
20117855,EGFR,T Marker,Type ii pneumocytes cell,Cancer cell,Lung,low-throughput + high-throughput,Microscopic observation;PCR;The primer seq,Activation status of receptor tyrosine kinase downstream pathways in primary Lung adenoCarcinoma with reference of KRAS and EGFR mutations,EGFR is an inhibitor of epidermal growth factor receptor.,TTF1,
20117855,KRAS,T Marker,Type ii pneumocytes cell,Cancer cell,Lung,low-throughput + high-throughput,Microscopic observation;PCR;The primer seq,Activation status of receptor tyrosine kinase downstream pathways in primary Lung adenoCarcinoma with reference of KRAS and EGFR mutations,KRAS is an inhibitor of epidermal growth factor receptor.KRAS mutations were solely and significantly linked to ERK activation,TTF1,
20145124,IFI27,T Marker,Colon Carcinoma cell,Cancer cell,Colon,low-throughput,Flow cytometry;Microscopic observation;Immunohistochemistry;Weston blot;Immunofluorescent staining,NOTCH signaling is required for formation and self-renewal of Cancer -initiating cells and for repression of secretory cell differentiation in colon Cancer,"Using small-molecule inhibition and short hairpin RNA knockdown, we show that NOTCH prevents CCIC apoptosis through repression of cell cycle kinase inhibitor p27 and transcription factor ATOH1.",ATOH1,
20145620,BMI1,T Marker,Squamous cell carcinoma of the oral cell,Cancer cell,Oral cavity,low-throughput,Immunohistochemistry;Immunostainings;Microscopic observation,Bmi-1 expression predicts prognosis in Squamous cell Carcinoma of the tongue,Negative BMI1 expression may be a marker of poor prognosis in patients with oral tongue cancer.BMI1 controls the cell cycle and self-renewal of stem cells in oral and tongue cancer  ,SNAI1;MYC,
20160030,ERBB2,T Marker,Stem cell,Cancer cell,Breast,low-throughput,Western blot;qRT-PCR;Immunofluorescent staining,An RNA interference screen identifies metabolic regulators NR1D1 and PBP as novel survival factors for Breast Cancer cells with the ERBB2 signature,Overexpression of the ERBB2 oncogene is one of the most clinically relevant abnormalities in Breast Cancer. It occurs in 20% to 30% of Breast Cancer cases and is an established adverse predictor of relapse time and survival,NR1D1,CL_0000034
20861305,BCL2L11,T Marker,Epithelial cell,Cancer cell,Breast,low-throughput,Immunofluorescent staining;RT-PCR;Weston blot;Gene knock down;Immunoblot Analysis,Hypoxia Suppression of Bim and Bmf Blocks Anoikis and Luminal Clearing during Mammary Morphogenesis,"Consistent with these data, hypoxic conditions inhibit luminal clearing during morphogenesis in human mammary epithelial acini when grown in three-dimensional cultures and are associated with decreased expression of BCL2L11 and BMF as well as Erk activation. ",HIF1A,CL_0000066
20861305,BMF,T Marker,Epithelial cell,Cancer cell,Breast,low-throughput,Immunofluorescent staining;RT-PCR;Weston blot;Gene knock down;Immunoblot Analysis,Hypoxia Suppression of Bim and Bmf Blocks Anoikis and Luminal Clearing during Mammary Morphogenesis,BMF is a marker in epithelial cells,HIF1A,CL_0000066
20876744,SCD,T Marker,Stem cell,Cancer cell,Breast,low-throughput,Weston blot;RT-PCR;Gene knock down;siRNA knockdown,Rapamycin Regulates Stearoyl CoA Desaturase 1 Expression in Breast Cancer,"SCD siRNA knockdown inhibited breast cancer cell growth, whereas overexpression increased growth.",EIF4E,CL_0000034
20952660,IL17A,T Marker,Colorectal cancer cell,Cancer cell,Colon,low-throughput,Western blot;Flow cytometry,Foxp3+IL-17+ T cells promote development of cancer-initiating cells in colorectal cancer,Il-17 is a marker expressed in colorectal cancer cells,FOXP3,
21285251,DCLK1,T Marker,Stem cell,Cancer cell,Pancreas,low-throughput,Immunohistochemistry;Microscopic observation;qRT-PCR;Immunofluorescent staining;Western blot,DCAMKL-1 Regulates Epithelial–Mesenchymal Transition inHuman Pancreatic Cells through amiR-200a–DependentMechanism,"Knockdown of DCAMKL-1 induces pri-miR-200a resulting in down regulation of ZEB1, ZEB2, Snail, Slug and TWIST1 in pancreatic cancer cell lines.",ZEB2;ZEB1;TWIST1,CL_0000034
21288558,LIN28A,T Marker,Germ cell,Cancer cell,Testis,low-throughput,Immunohistochemistry;Microscopic observation,RNA-binding protein LIN28 is a marker for testicular germcell tumors,We also compared LIN28 with SALL4 (Sal-like 4) and OCT4 (octamer-binding transcription factor 4) in all germ cell tumors.,POU5F1;SALL4,
21288909,MSLN,T Marker,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,RT-PCR;Western blot;Flow cytometry;RNA-seq,Structural Analysis of the Cancer-specific Promoter inMesothelin and in Other Genes Overexpressed in Cancers,"Mesothelin (MSLN) may be the most “dramatic” of the tumor markers, being strongly overexpressed in nearly one-third of human malignancies.",RUNX1;KLF6;RUNX2;RUNX3;GLI1;SP1,
21353741,PROM1,T Marker,Epithelial cell,Cancer cell,Prostate,low-throughput,RT-PCR;Western blot;Flow-throughput cytometry;Immunofluorescent staining;Immunohistochemistry,17-Beta-estradiol induces neoplastic transformation in prostatic epithelial cells ,"Western blot and RT-PCR analyses showed that the transformed E2-NRP-152 cells expressed increased levels of ERα and several putative prostate cancer stem cell markers (integrins α2β1, CD44, CD133, ABCG2 and CXCR4) but decreased levels of ERβ and AR. Comet assay revealed that E2-treatment also induced formation of comet cells, indicating that E2 caused DNA damage to the NRP-152 cells. ",ABCG2,CL_0000066
21363924,TP63,T Marker,Stem cell,Cancer cell,Breast,low-throughput,RqPCR;RT-PCR;qPCRWeston blot;Flow-throughput cytometry;Immunofluorescent staining;Microscopic observation,The DeltaNp63 proteins are key allies of BRCA1 in the prevention of basal-like breast cancer,TP63 proteins is critical for BRCA1 suppressor function and that defects in BRCA1-TP63 signaling are key events in the pathogenesis of basal-like breast cancer.,BRCA1,CL_0000034
21372204,KLK2,T Marker,Prostate carcinoma cell,Cancer cell,Prostate,high-throughput,Sequencing technique,Large-scale exploration of gene-gene interactions in prostate cancer using a multistage genome-wide association study,Another noteworthy result involves interaction of a known prostate cancer susceptibility marker near the prostate protease genes KLK2 and KLK3 with an intronic SNP in PRXX2.,EPAS1,CL_0001064
