PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
15746041,BAALC,TFMarker,Acute lymphoblastic leukemia cell,Cancer cell,Bone marrow,low-throughput + high-throughput,Immunophenotyping;Cytogenetic Analysis;Tandemly duplicated sequences,Risk Assessment in Patients with Acute Myeloid Leukemiaand a Normal Karyotype,"Myeloid transcription factor gene CEBPA , for internal tandem duplications (ITD) of the tyrosine kinase receptor gene FLT3, and for expression of the BAALC gene.",FLT3;CEBPA,
15979382,TP53,TFMarker,Epithelial cell,Cancer cell,Oral cavity,low-throughput + high-throughput,Western blot;Survival analysis,Smokeless tobacco (khaini) extracts modulate gene expression in epithelial cell culture from an oral hyperplasia,"In conclusion, we demonstrate that epithelial cell cultures from a ST (khaini) associated ora lesion show deregulated expression of cell cycle proteins pRb and TP53. Furthermore, continuous barrage of ST carcinogens leads to altered expression of other cell cycle regulators, namely cyclin D1 and tumor suppressor RARB and MGMT protein involved in DNA methylation, which may lead the cells down the carcinogenic pathway.",MGMT;RARB,CL_0000066
15979382,RARB,TFMarker,Epithelial cell,Cancer cell,Oral cavity,low-throughput + high-throughput,Western blot;Survival analysis,Smokeless tobacco (khaini) extracts modulate gene expression in epithelial cell culture from an oral hyperplasia,"In conclusion, we demonstrate that epithelial cell cultures from a ST (khaini) associated ora lesion show deregulated expression of cell cycle proteins pRb and p53. Furthermore, continuous barrage of ST carcinogens leads to altered expression of other cell cycle regulators, namely cyclin D4 and tumor suppressor RARB and MGMT protein involved in DNA methylation, which may lead the cells down the carcinogenic pathway.",MGMT;TP53,CL_0000066
15979382,MGMT,TFMarker,Epithelial cell,Cancer cell,Oral cavity,low-throughput + high-throughput,Western blot;Survival analysis,Smokeless tobacco (khaini) extracts modulate gene expression in epithelial cell culture from an oral hyperplasia,"In conclusion, we demonstrate that epithelial cell cultures from a ST (khaini) associated ora lesion show deregulated expression of cell cycle proteins pRb and p53. Furthermore, continuous barrage of ST carcinogens leads to altered expression of other cell cycle regulators, namely cyclin D5 and tumor suppressor RARB and MGMT protein involved in DNA methylation, which may lead the cells down the carcinogenic pathway.",TP53;RARB,CL_0000066
15979384,CHUK,TFMarker,Squamous cell,Cancer cell,Skin,low-throughput + high-throughput,RT-PCR;Western blot;Immunofluorescent staining;DNA sequencing,Effects of IkappaB kinase alpha on the differentiation of squamous carcinoma cells,"In conclusion, high expression of CHUK may serve as an intracellular signal to halt the epithelial differentiation of SCC cells.",,
15994878,BHLHE40,TFMarker,Intestine carcinoma cell,Cancer cell,Intestine,low-throughput,Western blot;Immunofluorescent staining;Microscopic observation;Immunohistochemistry,STRA13 expression and subcellular localisation in normal and tumour tissues: implications for use as a diagnostic and differentiation marker,"BHLHE40 may serve as a marker for myoepithelial cells, for the degree of tumour differentiation, and for identification of the primary site of certain metastatic tumours.",,CL_0001064
15999366,ID1,TFMarker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Immunohistochemical Analysis;Methylation-Specific Polymerase Chain Reaction;Microscopic observation,Overexpressed Id-1 is associated with a high risk of hepatocellular carcinoma development in patients with cirrhosis without transcriptional repression of p16,"The results of the current study suggested that increased expression of ID-1 may play an important role in the early step of hepatocarcinogenesis, and might serve as a useful marker for determining patients with cirrhosis with a high risk of HCC occurrence.",CDKN2A,CL_0001064
16007217,ID2,TFMarker,Foreskin carcinoma cell,Cancer cell,Foreskin,low-throughput + high-throughput,RT–PCR;Weston blot;ChIP assay;Immunoblot analysis,"Id2 protein is selectively upregulated by UVB in primary, but not in immortalized human keratinocytes and inhibits differentiation","These results suggest that UVB-induced inhibition of differentiation of primary HFK is at least, in part, due to the upregulation of ID2, and that upregulation of ID2 by UVB might predispose keratinocytes to carcinogenesis by preventing their normal differentiation program.",FLI1;EGR2;EGR1,CL_0001064
16015666,CTCF,TFMarker,Brain carcinoma cell,Cancer cell,Brain,low-throughput,RT-PCR,DNA methylation in the CTCF-binding site I and the expression pattern of the H19 gene: does positive expression predict poor prognosis in early stage head and neck carcinomas?,CTCF is a chromatin insulator and a multifunctional transcription factor whose binding to the H19-DMR is suppressed by DNA methylation.,H19,CL_0001064
16046710,CDX2,TFMarker,Colon caco 2 cell,Cancer cell,Colon,low-throughput,qRT-PCR;RT-PCR,Transcriptome Analysis of Human Colon Caco-2 Cells Exposed to Sulforaphane1–3,"The expression of 5 of these genes [caudal type homeo box transcription factor 2 (CDX-2), KLF4, KLF5, cyclin-dependent kinase inhibitor 1A (p21), and AMACR] was additionally studied after in vitro exposure to SF of surgically resected healthy and cancerous colon tissue from each of 3 patients.",,
16046710,KLF4,TFMarker,Colon caco 2 cell,Cancer cell,Colon,low-throughput,qRT-PCR;RT-PCR,Transcriptome Analysis of Human Colon Caco-2 Cells Exposed to Sulforaphane1–3,"The expression of 5 of these genes [caudal type homeo box transcription factor 2 (CDX-2), KLF4, KLF5, cyclin-dependent kinase inhibitor 1A (p21), and AMACR] was additionally studied after in vitro exposure to SF of surgically resected healthy and cancerous colon tissue from each of 3 patients.",,
16046710,KLF5,TFMarker,Colon caco 2 cell,Cancer cell,Colon,low-throughput,qRT-PCR;RT-PCR,Transcriptome Analysis of Human Colon Caco-2 Cells Exposed to Sulforaphane1–3,"The expression of 5 of these genes [caudal type homeo box transcription factor 2 (CDX-2), KLF4, KLF5, cyclin-dependent kinase inhibitor 1A (p21), and AMACR] was additionally studied after in vitro exposure to SF of surgically resected healthy and cancerous colon tissue from each of 3 patients.",,
16046710,AMACR,TFMarker,Colon caco 2 cell,Cancer cell,Colon,low-throughput,qRT-PCR;RT-PCR,Transcriptome Analysis of Human Colon Caco-2 Cells Exposed to Sulforaphane1–3,"The expression of 5 of these genes [caudal type homeo box transcription factor 2 (CDX-2), KLF4, KLF5, cyclin-dependent kinase inhibitor 1A (p21), and AMACR] was additionally studied after in vitro exposure to SF of surgically resected healthy and cancerous colon tissue from each of 3 patients.",,
16078249,TTF1,TFMarker,Liver cancer cell,Cancer cell,Liver,low-throughput,Immunohistochemistry,Recent Immunohistochemical Markers in the Differential Diagnosis of Primary and Metastatic Carcinomas of the Liver,"HepPar-1,MOC-31, and TTF-1 are complementary markers in the differential diagnosis of primary and metastatic carcinomas of the liver,with high sensitivity and specificity",,
16123587,FOXA1,TFMarker,Epithelial cell,Cancer cell,Liver,low-throughput,Immunofluorescent staining,The Making of the Liver: Competence in the Foregut Endoderm and Induction of Liver-Specific Genes,"Two winged helix transcription factors, Foxa1 and Foxa2, act in concert in hepatic specification",,CL_0000066
16123587,FOXA2,TFMarker,Epithelial cell,Cancer cell,Liver,low-throughput,Immunofluorescent staining,The Making of the Liver: Competence in the Foregut Endoderm and Induction of Liver-Specific Genes,"Two winged helix transcription factors, Foxa1 and Foxa3, act in concert in hepatic specification",,CL_0000066
16126882,TTF1,TFMarker,Small lung cell,Cancer cell,Lung,low-throughput,Immunohistochemistry; Microscopic observation,CD56: a useful tool for the diagnosis of small cell lung carcinomas on biopsies with extensive crush artefact,TTF-1 is useful in the diagnosis of SCLC in biopsies with extensive crush artefact and can help confirm the diagnosis in cases where features are equivocal.,PTPRC,
16488887,PROX1,TFMarker,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Western blot;RT-qPCR;qRT-PCR,A Prospero-related homeodomain protein is a novel co-regulator of hepatocyte nuclear factor 4alpha that regulates the cholesterol 7alpha-hydroxylase gene,These results suggest that Prox1 is a novel co-regulator of HNF4alpha that may play a key role in the regulation of bile acid synthesis and gluconeogenesis in the liver.,CYP7A1,CL_0001064
16489066,MITF,TFMarker,Melanocytes cell,Cancer cell,Brain,low-throughput + high-throughput,qRT-PCR;RT-PCR;immunohistochemistry,Microphthalmia transcription factor as a molecular marker for circulating tumor cell detection in blood of melanoma patients,MITF detection in blood can indicate subclinical metastatic disease and predict treatment outcome in melanoma patients.,MLANA;PAX3,
16500746,NES,TFMarker,Stem cell,Cancer cell,Blood vessel,low-throughput,Immunofluorescent staining;Microscopic observation;Immunohistochemistry,Dual-color imaging of nascent blood vessels vascularizing pancreatic cancer in an orthotopic model demonstrates antiangiogenesis efficacy of gemcitabine,NESTIN was highly expressed in proliferating endothelial cells and nascent blood vessels in the growing tumor.,PECAM1,CL_0000034
16865673,REXO1,TFMarker,Stem cell,Cancer cell,Epithelium,low-throughput,Western blot;RT-PCR,"The putative human stem cell marker, Rex-1 (Zfp42): structural classification and expression in normal human epithelial and carcinoma cell cultures","Human REX1 (hREX1) (also referred to as zinc-finger protein-42, ZFP42) encodes a zinc finger protein expression of which is believed to be characteristic of pluripotent stem cells.",YY1,CL_0000034
16959616,TTF1,TFMarker,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Microscopic observation,Utility of Thyroid Transcription Factor-1Expression in the Differential Diagnosis of Metastatic Adenocarcinoma of Serous Effusion Specimens Prepared Using the Cell Transfer Technique,TTF-1 immunostaining in serous effusion specimens preparedusing the cell transfer technique is a sensitive and highly specific marker for metastatic lung adenocarci-noma.,,CL_0001064
17069925,PROX1,TFMarker,Epithelial cell,Cancer cell,Epithelium,low-throughput,RT-PCR;Western blot;Immunofluorescent staining;Immunohistochemistry;Microscopic observation,Prospero-related homeobox 1 (PROX1) is frequently inactivated by genomic deletions and epigenetic silencing in carcinomas of the bilary system ,"We demonstrate that mechanisms like genomic deletions and hypermethylation, which are prototypic for the inactivation of tumor suppressor genes, inactivate PROX1 in carcinomas of the bilary system. Our findings prompt the elucidation of molecular pathways involved in PROX1 dependent misregulation of differentiation and proliferation processes in bilary tract carcinomas.",,CL_0000066
17090547,NOTCH1,TFMarker,T cell,Cancer cell,Thyroid,low-throughput + high-throughput,Western Blot;Immunoblotting;DNA sequencing,Overexpression of the NOTCH1 intracellular domain inhibits cell proliferation and alters the neuroendocrine phenotype of medullary thyroid cancer cells ,"Mechanistically, we show that MTC cell growth inhibition by NOTCH1 is mediated by cell cycle arrest associated with up-regulation of p21.",,CL_0000084
17094435,NES,TFMarker,Stem cell,Cancer cell,Blood vessel,low-throughput + high-throughput,Immunofluorescent staining;Microscopic observation,Dual-color imaging of nascent angiogenesis and its inhibition in liver metastases of pancreatic cancer,"As previously shown, the stem cell marker NESTIN is expressed in nascent blood vessels in transgenic nestin-driven green fluorescent protein (ND-GFP).",,CL_0000034
17121828,E2F4,TFMarker,T cell,Cancer cell,Colon,low-throughput,Weston blot,An antisense transcript induced by Wnt/beta-catenin signaling decreases E2F4 ,We propose that Wnt/beta-catenin signaling may contribute to colorectal carcinogenesis by reducing the level of the E2F4 cell cycle repressor via an antisense mechanism.,,CL_0000084
17163422,ILK,TFMarker,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,qRT-PCR;Weston blot;DNA-seq;Microscopic observation;Immunohistochemistry,Complete Loss of PTEN Expression as a Possible Early Prognostic Marker for Prostate Cancer Metastasis ,"Using laser microdissection technology and real-time PCR, together with immunohistochemistry, we have explored the growth factor and integrin dependent PI3-kinase/ PTEN/Akt signalling pathway in prostate cell lines and tumour samples by analysing EGF-R, IGF1-R, ILK, b3 integrin, PTEN and p-Akt protein expression. ",EGFR;PTEN;IGF1R,
17163422,PTEN,TFMarker,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,qRT-PCR;Weston blot;DNA-seq;Microscopic observation;Immunohistochemistry,Complete Loss of PTEN Expression as a Possible Early Prognostic Marker for Prostate Cancer Metastasis ,These findings demonstrate that loss of PTEN expression is an important factor in progression towards metastatic disease and could potentially serve as an early prognostic marker for prostate cancer metastasis.,ILK;EGFR;IGF1R,
17163422,EGFR,TFMarker,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,qRT-PCR;Weston blot;DNA-seq;Microscopic observation;Immunohistochemistry,Complete Loss of PTEN Expression as a Possible Early Prognostic Marker for Prostate Cancer Metastasis ,"Using laser microdissection technology and real-time PCR, together with immunohistochemistry, we have explored the growth factor and integrin dependent PI3-kinase/ PTEN/Akt signalling pathway in prostate cell lines and tumour samples by analysing EGF-R, IGF1-R, ILK, b3 integrin, PTEN and p-Akt protein expression. ",ILK;PTEN;IGF1R,
17163422,IGF1R,TFMarker,Prostate cancer cell,Cancer cell,Prostate,low-throughput + high-throughput,qRT-PCR;Weston blot;DNA-seq;Microscopic observation;Immunohistochemistry,Complete Loss of PTEN Expression as a Possible Early Prognostic Marker for Prostate Cancer Metastasis ,"Using laser microdissection technology and real-time PCR, together with immunohistochemistry, we have explored the growth factor and integrin dependent PI3-kinase/ PTEN/Akt signalling pathway in prostate cell lines and tumour samples by analysing EGF-R, IGF1-R, ILK, b3 integrin, PTEN and p-Akt protein expression. ",ILK;EGFR;PTEN,
17283135,CD24,TFMarker,Stem cell,Cancer cell,Pancreas,low-throughput,qRT-PCR;RT-PCR;Taqman PCR;Flow cytometry;Immunohistochemistry,Identification of pancreatic cancer stem cells,"Using a xenograft model in which primary human pancreatic adenocarcinomas were grown in immunocompromised mice, we identified a highly tumorigenic subpopulation of pancreatic cancer cells expressing the cell surface markers CD44, CD24, and epithelial-specific antigen (ESA).",CD44,CL_0000034
17283135,CD44,TFMarker,Stem cell,Cancer cell,Pancreas,low-throughput,qRT-PCR;RT-PCR;Taqman PCR;Flow cytometry;Immunohistochemistry,Identification of pancreatic cancer stem cells,"Using a xenograft model in which primary human pancreatic adenocarcinomas were grown in immunocompromised mice, we identified a highly tumorigenic subpopulation of pancreatic cancer cells expressing the cell surface markers CD44, CD24, and epithelial-specific antigen (ESA).",CD24,CL_0000034
17440968,TP63,TFMarker,Prostate cancer cell ,Cancer cell,Prostate,low-throughput,Immunohistochemistry;Microscopic observation;Immunofluorescent staining,Claudin-1 immunohistochemistry for distinguishing malignant from benign epithelial lesions of prostate ,"The Claudin-1 expression pattern was compared with that of the basal cell-specific markers, p63, and HMW cytokeratin (34betaE12), by employing double-labeling techniques in conjunction with image analysis methods utilizing color deconvolution algorithms. ",,
17527076,TP63,TFMarker,Prostate cancer cell ,Cancer cell,Prostate,low-throughput,Microscopic observation;Immunohistochemistry,Immunohistochemical Antibody Cocktail Staining (p63/HMWCK/AMACR) of Ductal Adenocarcinoma and Gleason Pattern 4 Cribriform and Noncribriform Acinar Adenocarcinomas of the Prostate,"In contrast, remnants of basal cells identified by p63/HMWCK were seen in a patchy fashion in a significant minority of both ductal and cribriform acinar prostatic adenocarcinoma, which most likely represents intraductal spread of tumor.",,
17529924,PAX5,TFMarker,B cell,Cancer cell,Lymph,low-throughput,Immunohistochemistry;Microscopic observation,The utility of PAX5 immunohistochemistry in the diagnosis of undifferentiated malignant neoplasms,"Lastly, we have shown that the lack of its expression at the protein level in many epithelial and mesenchymal neoplasms renders PAX5 expression an extremely specific marker of the B lineage.",,CL_0000236
17914561,FOXP3,TFMarker,T cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation,Utility of tumour-infiltrating CD25+FOXP3+ regulatory T cell evaluation in predicting local recurrence in vertical growth phase cutaneous melanoma,Transcription factors FOXP3 and CD25 are considered to be the most reliable treg markers,IL2RA,CL_0000084
18055450,TP63,TFMarker,Basal cell,Cancer cell,Prostate,low-throughput,Immunohistochemistry;Immunofluorescent staining;Microscopic observation;Weston blot,Characterization of adult prostatic progenitor/stem cells exhibiting self-renewal and multilineage differentiation ,"In vitro, undifferentiated cells expressed markers associated with prostate stem cells, including Sca 1 and CD49f, as well as basal cell markers (p63 and cytokeratins 5 and 14) and, at a low level, luminal cell markers (androgen receptor and cytokeratins 8 and 20).",,CL_0000646
18317352,VEGFA,TFMarker,Endothelial cell,Cancer cell,Blood vessel,low-throughput,Immunohistological Staining,Heterogeneous tumor vasculature in retinoblastoma: implications for vessel targeting therapy,"In experiments to evaluate normal vasculature, endothelial cells that form vessel tubes are found to be dependent on angiogenic factors (e.g., VEGF)",ENG,CL_0000115
18371365,CXCR4,TFMarker,Stem cell,Cancer cell,Pancreas,low-throughput,Microscopic observation;Immunohistochemistry;Flow cytometry;Immunofluorescent staining,Distinct populations of cancer stem cells determine tumor growth and metastatic activity in human pancreatic cancer,"In conclusion, we demonstrate that a subpopulation of migrating CD133(+) CXCR4(+) cancer stem cells is essential for tumor metastasis.",PROM1,CL_0000034
18594468,PDCD1,TFMarker,T cell,Cancer cell,Lymph,low-throughput,Microscopic observation,"PD-1, a follicular T-cell marker useful for recognizing nodular lymphocyte-predominant Hodgkin lymphoma","Results show that PD-1 (NAT-105) is an excellent immunomarker not only of follicular T-cell rosettes in NLPHL, but also of a subset of lymphocyte-rich classic Hodgkin lymphomas.",,CL_0000084
