Interaction ID,LR Pair,Ligand_gene,Receptor_gene,Evidence,AI summary,Ligand_aliases,Receptor_aliases,Ligand MGI ID,Receptor MGI ID,Ligand ENSEMBL ID,Receptor ENSEMBL ID,Human Ligand Symbols,Human Receptor Symbols,Ligand Location,Receptor Location
CDB15:0000011,Adam15 Itgb3,Adam15,Itgb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam15%20Itgb3-based-on-Pubmed-ID-9516430,%209914169-in-mouse","Adam15 (metargidin, MDC15)","Itgb3 (platelet glycoprotein IIIa  (GP3A), CD61)",MGI:1333882,MGI:96612,ENSMUSG00000028041,ENSMUSG00000020689,ADAM15 (MDC15),"ITGB3 (GP3A, CD61, GPIIIa)",cell membrane,cell membrane
CDB15:0000012,Adam17 Itga5,Adam17,Itga5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam17%20Itga5-based-on-Pubmed-ID-14970227-in-mouse,"Adam17 (Tace, CD156b)","Itga5 (Fnra, Cd49e)",MGI:1096335,MGI:96604,ENSMUSG00000052593,ENSMUSG00000000555,"ADAM17 (TACE, cSVP, CD156B)","ITGA5 (FNRA, CD49e)",cell membrane,cell membrane
CDB15:0000013,Adam17 Itgb1,Adam17,Itgb1,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam17%20Itgb1-based-on-Pubmed-ID-14970227,%2023888051-in-mouse","Adam17 (Tace, CD156b)","Itgb1 (CD29, beta1 integrin, 4633401G24Rik, Fnrb, Gm9863)",MGI:1096335,MGI:96610,ENSMUSG00000052593,ENSMUSG00000025809,"ADAM17 (TACE, cSVP, CD156B)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
CDB15:0000014,Adam23 Itgb3,Adam23,Itgb3,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam23%20Itgb3-based-on-Pubmed-ID-10749942,%2019549921-in-mouse",Adam23 (MDC3),"Itgb3 (platelet glycoprotein IIIa  (GP3A), CD61)",MGI:1345162,MGI:96612,ENSMUSG00000025964,ENSMUSG00000020689,ADAM23 (MDC3),"ITGB3 (GP3A, CD61, GPIIIa)","secreted, cell membrane",cell membrane
CDB15:0000015,Adam28 Itga4,Adam28,Itga4,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam28%20Itga4-based-on-Pubmed-ID-11724793-in-mouse,"Adam28 (Dtgn1, MDC-L, D430033C21Rik, C130072N01Rik)","Itga4 (VLA-4 receptor, alpha 4 subunit)",MGI:105988,MGI:96603,ENSMUSG00000014725,ENSMUSG00000027009,"ADAM28 (eMDCII, MDC-Lm, MDC-Ls, ADAM23)","ITGA4 (CD49D, CD49d)","secreted, cell membrane",cell membrane
CDB15:0000016,Adam2 Cd9,Adam2,Cd9,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Cd9-based-on-Pubmed-ID-10518536-in-mouse,"Adam2 (Ph30-beta, Ftnb, fertilin beta)",Cd9 (Tspan29),MGI:1340894,MGI:88348,ENSMUSG00000022039,ENSMUSG00000030342,"ADAM2 (FTNB, PH-30b, PH30, CT15)","CD9 (MIC3, BA2, P24, TSPAN29, MRP-1)",cell membrane,cell membrane
CDB15:0000017,Adam2 Itga6,Adam2,Itga6,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Itga6-based-on-Pubmed-ID-10518536,%209889149-in-mouse","Adam2 (Ph30-beta, Ftnb, fertilin beta)","Itga6 (Cd49f, 5033401O05Rik)",MGI:1340894,MGI:96605,ENSMUSG00000022039,ENSMUSG00000027111,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGA6 (CD49f, VLA-6, ITGA6A, ITGA6B)",cell membrane,cell membrane
CDB15:0000018,Adam2 Itga9,Adam2,Itga9,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Itga9-based-on-Pubmed-ID-21060781-in-mouse,"Adam2 (Ph30-beta, Ftnb, fertilin beta)","Itga9 (2610002H11Rik, D9Ertd428e, 6720458D17Rik)",MGI:1340894,MGI:104756,ENSMUSG00000022039,ENSMUSG00000039115,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGA9 (RLC, ITGA4L, ALPHA-RLC)",cell membrane,cell membrane
CDB15:0000019,Adam2 Itgb1,Adam2,Itgb1,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Itgb1-based-on-Pubmed-ID-10518536,%209889149-in-mouse","Adam2 (Ph30-beta, Ftnb, fertilin beta)","Itgb1 (CD29, beta1 integrin, 4633401G24Rik, Fnrb, Gm9863)",MGI:1340894,MGI:96610,ENSMUSG00000022039,ENSMUSG00000025809,"ADAM2 (FTNB, PH-30b, PH30, CT15)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)",cell membrane,cell membrane
CDB15:0000020,Adam2 Itgb7,Adam2,Itgb7,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam2%20Itgb7-based-on-Pubmed-ID-21060781-in-mouse,"Adam2 (Ph30-beta, Ftnb, fertilin beta)",Itgb7,MGI:1340894,MGI:96616,ENSMUSG00000022039,ENSMUSG00000001281,"ADAM2 (FTNB, PH-30b, PH30, CT15)",ITGB7,cell membrane,cell membrane
CDB15:0000021,Adam9 Itga3,Adam9,Itga3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itga3-based-on-Pubmed-ID-15361064-in-mouse,"Adam9 (MDC9, Mltng, MDC9, Mltng)","Itga3 (VLA-3 alpha 3, alpha3-integrin)",MGI:105376,MGI:96602,ENSMUSG00000031555,ENSMUSG00000001507,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGA3 (MSK18, CD49c, VLA3a, VCA-2, GAP-B3)","secreted, cell membrane",cell membrane
CDB15:0000022,Adam9 Itga6,Adam9,Itga6,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itga6-based-on-Pubmed-ID-10825303,%2015361064-in-mouse","Adam9 (MDC9, Mltng, MDC9, Mltng)","Itga6 (Cd49f, 5033401O05Rik)",MGI:105376,MGI:96605,ENSMUSG00000031555,ENSMUSG00000027111,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGA6 (CD49f, VLA-6, ITGA6A, ITGA6B)","secreted, cell membrane",cell membrane
CDB15:0000023,Adam9 Itgav,Adam9,Itgav,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itgav-based-on-Pubmed-ID-11162558,%2015361064-in-mouse","Adam9 (MDC9, Mltng, MDC9, Mltng)","Itgav (vitronectin receptor alpha polypeptide  (VNRA), CD51, alphav-integrin, 1110004F14Rik, 2610028E01Rik, D430040G12Rik)",MGI:105376,MGI:96608,ENSMUSG00000031555,ENSMUSG00000027087,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGAV (VNRA, MSK8, VTNR, CD51)","secreted, cell membrane",cell membrane
CDB15:0000024,Adam9 Itgb1,Adam9,Itgb1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itgb1-based-on-Pubmed-ID-10825303,%2015361064-in-mouse","Adam9 (MDC9, Mltng, MDC9, Mltng)","Itgb1 (CD29, beta1 integrin, 4633401G24Rik, Fnrb, Gm9863)",MGI:105376,MGI:96610,ENSMUSG00000031555,ENSMUSG00000025809,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)","ITGB1 (FNRB, MSK12, MDF2, CD29, GPIIA)","secreted, cell membrane",cell membrane
CDB15:0000025,Adam9 Itgb5,Adam9,Itgb5,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adam9%20Itgb5-based-on-Pubmed-ID-11162558-in-mouse,"Adam9 (MDC9, Mltng, MDC9, Mltng)","Itgb5 ([b]5B, [b]5A, [b]-5, beta-5, beta5, [b]5, ESTM23)",MGI:105376,MGI:96614,ENSMUSG00000031555,ENSMUSG00000022817,"ADAM9 (CORD9, MDC9, KIAA0021, MCMP, Mltng)",ITGB5,"secreted, cell membrane",cell membrane
CDB15:0000026,Adcyap1 Adcyap1r1,Adcyap1,Adcyap1r1,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adcyap1%20Adcyap1r1-based-on-Pubmed-ID-10100920,%2010583729,%2011931347,%2012429744,%2016930633,%208146174,%208253796,%208703026-in-mouse",Adcyap1 (PACAP),"Adcyap1r1 (PACAP1-R, PAC1, PAC1R, 2900024I10Rik)",MGI:105094,MGI:108449,ENSMUSG00000024256,ENSMUSG00000029778,ADCYAP1 (PACAP),"ADCYAP1R1 (PAC1, PACAPR, PAC1R)",secreted,cell membrane
CDB15:0000027,Adcyap1 Sctr,Adcyap1,Sctr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adcyap1%20Sctr-based-on-Pubmed-ID-1335692-in-mouse,Adcyap1 (PACAP),Sctr (6530402O03Rik),MGI:105094,MGI:2441720,ENSMUSG00000024256,ENSMUSG00000026387,ADCYAP1 (PACAP),SCTR,secreted,cell membrane
CDB15:0000028,Adcyap1 Vipr1,Adcyap1,Vipr1,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adcyap1%20Vipr1-based-on-Pubmed-ID-11897681,%2016930633,%208791009,%209928018-in-mouse",Adcyap1 (PACAP),"Vipr1 (VIP-R1, VPAC1, VIP receptor subtype 1)",MGI:105094,MGI:109272,ENSMUSG00000024256,ENSMUSG00000032528,ADCYAP1 (PACAP),"VIPR1 (VPAC1, RDC1, HVR1, VPAC1R)",secreted,cell membrane
CDB15:0000029,Adcyap1 Vipr2,Adcyap1,Vipr2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adcyap1%20Vipr2-based-on-Pubmed-ID-16930633,%209928018-in-mouse",Adcyap1 (PACAP),"Vipr2 (VIP receptor subtype 2, VPAC2, Vip2, VPAC2R)",MGI:105094,MGI:107166,ENSMUSG00000024256,ENSMUSG00000011171,ADCYAP1 (PACAP),"VIPR2 (VPAC2, VPAC2R)",secreted,cell membrane
CDB15:0000030,Adipoq Adipor1,Adipoq,Adipor1,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adipoq%20Adipor1-based-on-Pubmed-ID-12802337-in-mouse,"Adipoq (adiponectin, adipo, apM1, GBP28, Acrp30, Acdc, APN, Ad)",Adipor1 (2810031L11Rik),MGI:106675,MGI:1919924,ENSMUSG00000022878,ENSMUSG00000026457,"ADIPOQ (ACDC, ACRP30, apM1, GBP28, adiponectin)","ADIPOR1 (PAQR1, ACDCR1)",secreted,cell membrane
CDB15:0000031,Adipoq Adipor2,Adipoq,Adipor2,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adipoq%20Adipor2-based-on-Pubmed-ID-12802337-in-mouse,"Adipoq (adiponectin, adipo, apM1, GBP28, Acrp30, Acdc, APN, Ad)","Adipor2 (1110001I14Rik, D6Ucla1e)",MGI:106675,MGI:93830,ENSMUSG00000022878,ENSMUSG00000030168,"ADIPOQ (ACDC, ACRP30, apM1, GBP28, adiponectin)","ADIPOR2 (PAQR2, ACDCR2)",secreted,cell membrane
CDB15:0000032,Adm2 Calcrl,Adm2,Calcrl,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm2%20Calcrl-based-on-Pubmed-ID-14615490-in-mouse,"Adm2 (intermedin, IMD)",Calcrl (CRLR),MGI:2675256,MGI:1926944,ENSMUSG00000054136,ENSMUSG00000059588,"ADM2 (AM2, FLJ21135)","CALCRL (CGRPR, CRLR)",secreted,cell membrane
CDB15:0000033,Adm2 Ramp1,Adm2,Ramp1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm2%20Ramp1-based-on-Pubmed-ID-30139742-in-mouse,"Adm2 (intermedin, IMD)",Ramp1 (9130218E19Rik),MGI:2675256,MGI:1858418,ENSMUSG00000054136,ENSMUSG00000034353,"ADM2 (AM2, FLJ21135)",RAMP1,secreted,cell membrane
CDB15:0000034,Adm Calcr,Adm,Calcr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm%20Calcr-based-on-Pubmed-ID-12565884-in-mouse,Adm (AM),Calcr (Clr),MGI:108058,MGI:101950,ENSMUSG00000030790,ENSMUSG00000023964,ADM (AM),"CALCR (CTR, CT-R)",secreted,cell membrane
CDB15:0000035,Adm Calcrl,Adm,Calcrl,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm%20Calcrl-based-on-Pubmed-ID-7592696,%209620797-in-mouse",Adm (AM),Calcrl (CRLR),MGI:108058,MGI:1926944,ENSMUSG00000030790,ENSMUSG00000059588,ADM (AM),"CALCRL (CGRPR, CRLR)",secreted,cell membrane
CDB15:0000036,Adm Mrgpra1,Adm,Mrgpra1,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm%20Mrgpra1-based-on-Pubmed-ID-15823563,%2016111673-in-mouse",Adm (AM),Mrgpra1 (MrgA1),MGI:108058,MGI:3033095,ENSMUSG00000030790,ENSMUSG00000050650,ADM (AM),MRGPRX2 (MRGX2),secreted,cell membrane
CDB15:0000037,Adm Ramp2,Adm,Ramp2,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Adm%20Ramp2-based-on-Pubmed-ID-10342881,%2012565884,%2015692146,%2030139742,%209620797-in-mouse",Adm (AM),Ramp2,MGI:108058,MGI:1859650,ENSMUSG00000030790,ENSMUSG00000001240,ADM (AM),RAMP2,secreted,cell membrane
CDB15:0000038,Agrn Atp1a3,Agrn,Atp1a3,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrn%20Atp1a3-based-on-Pubmed-ID-16630822-in-mouse,"Agrn (NMF380, Agrin, nmf380)",Atp1a3 (Atpa-2),MGI:87961,MGI:88107,ENSMUSG00000041936,ENSMUSG00000040907,AGRN (AGRIN),ATP1A3 (DYT12),"secreted, cell membrane",cell membrane
CDB15:0000039,Agrn Lrp4,Agrn,Lrp4,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrn%20Lrp4-based-on-Pubmed-ID-18848351-in-mouse,"Agrn (NMF380, Agrin, nmf380)","Lrp4 (6430526J12Rik, Megf7, mdig)",MGI:87961,MGI:2442252,ENSMUSG00000041936,ENSMUSG00000027253,AGRN (AGRIN),"LRP4 (MEGF7, CLSS, LRP-4, SOST2)","secreted, cell membrane",cell membrane
CDB15:0000040,Agrn Musk,Agrn,Musk,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrn%20Musk-based-on-Pubmed-ID-8653787-in-mouse,"Agrn (NMF380, Agrin, nmf380)","Musk (MDK4, Nsk1, Nsk2, Nsk3)",MGI:87961,MGI:103581,ENSMUSG00000041936,ENSMUSG00000057280,AGRN (AGRIN),MUSK,"secreted, cell membrane",cell membrane
CDB15:0000041,Agrp Mc3r,Agrp,Mc3r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrp%20Mc3r-based-on-Pubmed-ID-11747427,%209311920,%209819197,%209893984-in-mouse","Agrp (Agrt, agouti related protein)",Mc3r,MGI:892013,MGI:96929,ENSMUSG00000005705,ENSMUSG00000038537,"AGRP (Agrt, ART, ASIP2)",MC3R (MC3),secreted,cell membrane
CDB15:0000042,Agrp Mc4r,Agrp,Mc4r,Inferred,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrp%20Mc4r-based-on-Pubmed-ID-10318826,%2011747427,%2012815165,%209299416,%209311920,%209893984-in-mouse","Agrp (Agrt, agouti related protein)","Mc4r (Fatboy, Pkcp)",MGI:892013,MGI:99457,ENSMUSG00000005705,ENSMUSG00000047259,"AGRP (Agrt, ART, ASIP2)",MC4R,secreted,cell membrane
CDB15:0000043,Agrp Mc5r,Agrp,Mc5r,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrp%20Mc5r-based-on-Pubmed-ID-9892020-in-mouse,"Agrp (Agrt, agouti related protein)",Mc5r,MGI:892013,MGI:99420,ENSMUSG00000005705,ENSMUSG00000007480,"AGRP (Agrt, ART, ASIP2)",MC5R,secreted,cell membrane
CDB15:0000044,Agrp Sdc3,Agrp,Sdc3,Direct,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agrp%20Sdc3-based-on-Pubmed-ID-11461706-in-mouse,"Agrp (Agrt, agouti related protein)","Sdc3 (Synd3, syn-3)",MGI:892013,MGI:1349163,ENSMUSG00000005705,ENSMUSG00000025743,"AGRP (Agrt, ART, ASIP2)","SDC3 (N-syndecan, SYND3)",secreted,cell membrane
CDB15:0000045,Agt Agtr1a,Agt,Agtr1a,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agt%20Agtr1a-based-on-Pubmed-ID-10193788,%2012006574,%2015930094,%2017138938,%2021464395,%202775266,%2010993080,%2037540598-in-mouse","Agt (Aogen, Serpina8, angiotensin precursor)","Agtr1a (AT1a, Angtr-1a, Agtr-1a, AT1, Agtr1a, 1810074K20Rik, Agt1ar)",MGI:87963,MGI:87964,ENSMUSG00000031980,ENSMUSG00000049115,AGT (SERPINA8),"AGTR1 (AGTR1B, AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B, ATR1)",secreted,cell membrane
CDB15:0000046,Agt Agtr2,Agt,Agtr2,Direct,"https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agt%20Agtr2-based-on-Pubmed-ID-17138938,%2021464395,%202775266,%2037540598,%208185599-in-mouse","Agt (Aogen, Serpina8, angiotensin precursor)",Agtr2 (AT2 receptor),MGI:87963,MGI:87966,ENSMUSG00000031980,ENSMUSG00000068122,AGT (SERPINA8),"AGTR2 (AT2, MRX88)",secreted,cell membrane
CDB15:0000047,Agt Lrp2,Agt,Lrp2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agt%20Lrp2-based-on-Pubmed-ID-15467006-in-mouse,"Agt (Aogen, Serpina8, angiotensin precursor)","Lrp2 (Megalin, Gp330, D230004K18Rik, b2b1625.2Clo)",MGI:87963,MGI:95794,ENSMUSG00000031980,ENSMUSG00000027070,AGT (SERPINA8),"LRP2 (gp330, DBS)",secreted,cell membrane
CDB15:0000048,Agt Mas1,Agt,Mas1,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Agt%20Mas1-based-on-Pubmed-ID-12829792-in-mouse,"Agt (Aogen, Serpina8, angiotensin precursor)","Mas1 (Mas-1, Mas receptor, MasR)",MGI:87963,MGI:96918,ENSMUSG00000031980,ENSMUSG00000068037,AGT (SERPINA8),MAS1,secreted,cell membrane
CDB15:0000049,Ahsg Insr,Ahsg,Insr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Ahsg%20Insr-based-on-Pubmed-ID-7906861-in-mouse,Ahsg (fetuin-A),"Insr (IR, CD220, 4932439J01Rik, D630014A15Rik, IR-B, IR-A)",MGI:107189,MGI:96575,ENSMUSG00000022868,ENSMUSG00000005534,"AHSG (FETUA, A2HS, HSGA)",INSR (CD220),secreted,cell membrane
CDB15:0000050,Alb Lrp2,Alb,Lrp2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Alb%20Lrp2-based-on-Pubmed-ID-8898021-in-mouse,"Alb (Alb-1, Alb1)","Lrp2 (Megalin, Gp330, D230004K18Rik, b2b1625.2Clo)",MGI:87991,MGI:95794,ENSMUSG00000029368,ENSMUSG00000027070,ALB,"LRP2 (gp330, DBS)",secreted,cell membrane
CDB15:0000051,Amh Amhr2,Amh,Amhr2,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Amh%20Amhr2-based-on-Pubmed-ID-34155118-in-mouse,"Amh (MIS, Mullerian inhibiting substance)","Amhr2 (MIS TypeII receptor, MISIIR)",MGI:88006,MGI:105062,ENSMUSG00000035262,ENSMUSG00000023047,"AMH (MIF, MIS)","AMHR2 (MISR2, MISRII)",secreted,cell membrane
CDB15:0000052,Amh Egfr,Amh,Egfr,Inferred,https://www.perplexity.ai/search?q=What-is-the-biological-relevance-of-the-ligand-and-receptor-pair-Amh%20Egfr-based-on-Pubmed-ID-8596488-in-mouse,"Amh (MIS, Mullerian inhibiting substance)","Egfr (avian erythroblastic leukemia viral (v-erb-b) oncogene homolog, Erbb, Wa5, 9030024J15Rik, Errb1)",MGI:88006,MGI:95294,ENSMUSG00000035262,ENSMUSG00000020122,"AMH (MIF, MIS)","EGFR (ERBB, ERBB1, ERRP)",secreted,cell membrane
